feature,client_4,client_3,client_1,client_5,client_2,server
fin_count,0.00512270364993625,0.0010316552940327838,0.019612829030337006,0.0029731515633845563,0.012947779811754863,0.017393192657819082
rst_flag_number,0.018629683814627103,0.0029246340822320065,0.009611763737697532,0.0017999676134139897,0.001964568211750658,0.014873413756128804
SSH,0.012603235095494948,0.0004725314425120243,0.0003399170695919268,0.000747669059301517,0.018380060109740297,0.012603674392518855
rst_count,0.019652789981755035,0.006954457632591421,0.0038737429056899175,0.005557570598745767,0.0045646806586954365,0.009803740057479955
IRC,0.006343941223111376,0.0004923592669988301,0.004295569980607924,0.011498932048381896,0.036708630637010076,0.00975035863304635
syn_count,0.007264858796654754,0.005402505327798218,0.00255767731695084,0.0005101714017062301,0.005727187486710204,0.006432572472899675
ece_flag_number,0.0006692215355929304,0.005511588680029826,0.005484484457982833,0.004389639098537614,0.009143758090832984,0.005094404255260827
ack_flag_number,0.006056918777990402,0.01070388658829688,0.0021075658054918473,0.0032977031415451948,0.0012741818036593642,0.005081396999976318
SMTP,0.008185134212491596,0.003336301690641451,0.0004859831270888873,0.0023385542937986543,0.006210952300575726,0.004215870486821965
ack_count,0.0013261441182821322,0.008567843319873886,0.0004961242074717602,0.008453679968616581,0.00044624993353693137,0.0016615055801834692
Protocol Type,0.0018924390850112028,0.0006317888171089423,0.008955377497170446,0.0028836246263662132,0.0016743220772251772,0.001252082402463581
HTTP,0.0008780090695050836,0.0004223424139721784,0.0006542487181390926,0.0017150188838350303,0.09940678603247746,0.0011605319659941465
Max,0.00293276926213694,0.002265842270081566,0.0014449889722534753,0.0007634301556093613,0.0009479126594360893,0.0008713657739118217
syn_flag_number,0.002251444390679791,0.0002941846831801331,0.00013448495384046048,0.0007389488561422434,0.0020236583337910475,0.0007663311079406744
Header_Length,0.006545998481948519,0.0001880291219704328,0.00019076915632390917,0.00019991144479831414,0.0008000511930175158,0.0006373931113416912
Min,0.0007733900006298162,8.748218360947483e-05,5.325786892197089e-05,0.0006489353134625631,0.0016141239107179497,0.0006083894603446795
ARP,0.001030232510353706,0.0012700652790036116,0.0006816740191815454,0.003799292186435606,0.0016660018431355922,0.0006009118065094106
Telnet,0.0024584109897049207,0.0004363725586860955,0.0003341099041117621,0.0007269935478810467,0.00153630841707624,0.0005936500833557374
IGMP,0.0006270301054520064,0.0003242667251166117,0.0001466948126027351,0.0035005548872995168,0.0007508169440402653,0.0005914553226147567
LLC,0.0016512398748459141,0.00037671390393029215,0.0003195950149349831,0.0007008092689135965,0.0015254658644240332,0.0005592621681841613
cwr_flag_number,0.002939676058562944,0.00020609749562358086,0.0001355455505769784,0.00017793696091173992,0.002946046442174939,0.0005274345450130672
UDP,0.0008355168316304759,0.003490554827869429,0.004767930555338463,0.0012366382967566713,0.015320199503555938,0.0005003200948451232
AVG,0.0007717469665039378,0.00015620557030679097,9.432975792883024e-05,0.0005939533757674133,0.0008868656316448176,0.00047888249681877153
DHCP,0.00035926784664481245,0.0018304281170386494,0.0024707890255803388,0.0022823804177333797,0.0012497682822962643,0.0004609640637274252
fin_flag_number,0.001169987042006941,0.0008784263879412691,0.0003508268577573288,0.0007610957382131945,0.0042736845186506995,0.00042034771411777284
Rate,0.0007828238457212566,0.00011822386851335461,0.00014285618506021828,0.000353979464269821,0.0006331292605556019,0.00035830710089932257
ICMP,0.0004245183168320446,0.0017974240689879234,0.0002668160761421286,0.0008163290868435899,0.0015889185117330688,0.0003548981747814079
DNS,0.0009104358936125023,0.0005075924069191776,0.0029906359326126023,0.0023960602208070326,0.0007403082970031128,0.0003331382879040319
TCP,0.0016153981433133984,0.0010849378516839098,0.004439688551368719,0.0045404151836897725,0.003366456118275619,0.0003297651717517547
HTTPS,0.0008826796041859285,9.086573454721814e-05,0.005149457870169469,0.0002511521825392734,0.0005957105739015345,0.0003246481658661947
IPv,0.0006331108155846394,0.00010120045042914364,0.00010231405295341047,0.0005386872433637052,0.00044759176568754793,0.00022274454739057894
psh_flag_number,0.0004295907818089599,0.0009139925043987828,0.00017514381686007464,0.00019539763973049225,0.03110539857393376,0.00021153897346970507
Time_To_Live,0.00025668778766470767,0.00014514027460841542,0.00016400940570051174,0.0014465754019742875,0.0011548680264532843,0.0002098469962468554
Tot sum,0.0010288415529679626,0.0003500501107339599,0.00026769220611210935,0.0013759112522064609,0.0005993369165838507,0.00019380722135071553
