Round,Client 1,Client 2,Client 3,Client 4,Client 5
1,0.5232,0.6199,0.3823,0.3746,0.555
2,0.7016,0.7648,0.6383,0.4852,0.5658
3,0.7013,0.6746,0.546,0.552,0.5993
4,0.7356,0.7758,0.6928,0.5242,0.5558
5,0.7626,0.7943,0.7002,0.5345,0.5436
6,0.8182,0.8164,0.7842,0.5694,0.5332
7,0.7253,0.7355,0.6604,0.5354,0.6128
8,0.8052,0.8128,0.7483,0.5527,0.5253
9,0.7624,0.8091,0.7597,0.5362,0.5114
10,0.653,0.7998,0.6997,0.4273,0.4895
11,0.7911,0.8124,0.7153,0.5296,0.5039
12,0.7794,0.8112,0.7631,0.5225,0.5233
13,0.7903,0.808,0.7726,0.5537,0.5117
14,0.6832,0.7976,0.7166,0.448,0.4983
15,0.775,0.8064,0.7583,0.5426,0.4997
16,0.6948,0.7994,0.7092,0.4404,0.5074
17,0.8052,0.805,0.7661,0.5567,0.5149
18,0.7924,0.8186,0.7692,0.5377,0.5263
19,0.7909,0.8103,0.6689,0.3205,0.524
20,0.8039,0.8045,0.7635,0.5413,0.5252
,,,,,
,,,,,
,with SHAP influence at 0.5,,,,
